EnhancerID	Chr	ATAC_Start	ATAC_End	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	EnhancerDistance	PROseq_Classification	ATACseq_Classification	name	geneFunc	score	geneName	geneFuncFullText
Region3364	chr3L	639465	641163	FBgn0035147	chr3L	649180	651102	8016	Gd7 Down	Time Up	Q9W0P5	UDP-glucose 4-epimerase	1000	Gale	<ul><li>Catalyzes two distinct but analogous reactions: the reversible epimerization of UDP-glucose to UDP-galactose and the reversible epimerization of UDP-N-acetylglucosamine to UDP-N-acetylgalactosamine (PubMed:20519568, PubMed:22654673). The reaction with UDP-Gal plays a critical role in the Leloir pathway of galactose catabolism in which galactose is converted to the glycolytic intermediate glucose 6-phosphate. It contributes to the catabolism of dietary galactose and enables the endogenous biosynthesis of both UDP-Gal and UDP-GalNAc when exogenous sources are limited (PubMed:22654673). Both UDP-sugar interconversions are important in the synthesis of glycoproteins and glycolipids.</ul>
Region3541	chr3L	2878830	2879250	FBgn0263392	chr3L	2788553	2871710	7119	Toll9 Up	Time Up	M9NEY8	DNA N6-methyl adenine demethylase	1000	Tet	<ul><li>Dioxygenase that specifically demethylates DNA methylated on the 6th position of adenine (N(6)-methyladenosine) DNA. N(6)-methyladenosine (m6A) DNA is present at a relatively high level at the very earliest embryonic stages but at low levels at the late embryonic stages and may act as a regulator of gene expression. Promotes differentiation of early germ cells in ovary.</ul>
Region3542	chr3L	2879482	2880852	FBgn0263392	chr3L	2788553	2871710	7771	Toll9 Up	Toll9 Up	M9NEY8	DNA N6-methyl adenine demethylase	1000	Tet	<ul><li>Dioxygenase that specifically demethylates DNA methylated on the 6th position of adenine (N(6)-methyladenosine) DNA. N(6)-methyladenosine (m6A) DNA is present at a relatively high level at the very earliest embryonic stages but at low levels at the late embryonic stages and may act as a regulator of gene expression. Promotes differentiation of early germ cells in ovary.</ul>
Region3543	chr3L	2881200	2882832	FBgn0263392	chr3L	2788553	2871710	9489	Toll9 Up	Toll9 Up	M9NEY8	DNA N6-methyl adenine demethylase	1000	Tet	<ul><li>Dioxygenase that specifically demethylates DNA methylated on the 6th position of adenine (N(6)-methyladenosine) DNA. N(6)-methyladenosine (m6A) DNA is present at a relatively high level at the very earliest embryonic stages but at low levels at the late embryonic stages and may act as a regulator of gene expression. Promotes differentiation of early germ cells in ovary.</ul>
Region3588	chr3L	3408680	3409437	FBgn0014388	chr3L	3402959	3404725	3954	Toll10b Up	Toll10b Up	O44783	Protein sprouty	1000	sty	<ul><li>Inhibitor of tracheal branching that restricts branch budding by antagonizing the BNL-FGF pathway (BNL: branchless, an fgf inducer of branching). Acts as an antagonist of EGFR-mediated signaling in the eye (where it is important for cell determination) midline glia, chordotonal organs, wing and ovarian follicle cells.</ul>
Region3589	chr3L	3409665	3410535	FBgn0014388	chr3L	3402959	3404725	4939	Toll10b Up	Time Up	O44783	Protein sprouty	1000	sty	<ul><li>Inhibitor of tracheal branching that restricts branch budding by antagonizing the BNL-FGF pathway (BNL: branchless, an fgf inducer of branching). Acts as an antagonist of EGFR-mediated signaling in the eye (where it is important for cell determination) midline glia, chordotonal organs, wing and ovarian follicle cells.</ul>
Region3590	chr3L	3410781	3411752	FBgn0014388	chr3L	3402959	3404725	6055	Toll10b Up	Gd7 Down	O44783	Protein sprouty	1000	sty	<ul><li>Inhibitor of tracheal branching that restricts branch budding by antagonizing the BNL-FGF pathway (BNL: branchless, an fgf inducer of branching). Acts as an antagonist of EGFR-mediated signaling in the eye (where it is important for cell determination) midline glia, chordotonal organs, wing and ovarian follicle cells.</ul>
Region3802	chr3L	7134201	7135269	FBgn0023001	chr3L	7139223	7142732	3953	Toll9 Up	Toll10b Down	Q9VS24	Protein melted	1000	melt	<ul><li>Participates in fat metabolism regulation by recruiting FOXO and the TSC1-TSC2 complex to the cell membrane, which positively regulates TOR activity and negatively regulates the expression of FOXO target genes. Involved in R8 photoreceptor subtype specification. During early embryonic development, may be required for ectodermal patterning.</ul>
Region3804	chr3L	7155951	7157219	FBgn0265296	chr3L	7161360	7189315	4140	Toll9 Up	Toll9 Up	Q9VS29	Down syndrome cell adhesion molecule-like protein Dscam2	1000	Dscam2	<ul><li>Cell adhesion molecule.</ul>
Region3878	chr3L	8504477	8505642	FBgn0035900	chr3L	8507601	8509644	1958	Toll9 Up	Gd7 Up	Q9VSK8	Zinc finger CCCH domain-containing protein 3	1000	ZC3H3	<ul><li>Required for the export of polyadenylated mRNAs from the nucleu; binds to polyadenylated mRNA, and is involved in the regulation of mRNA polyadenylation.</ul>
Region3895	chr3L	8669796	8671796	FBgn0001168	chr3L	8676250	8678420	4453	Time Down	Time Down	P14003	Protein hairy	1000	h	<ul><li>Pair-rule protein that regulates embryonic segmentation and adult bristle patterning. Transcriptional repressor of genes that require a bHLH protein for their transcription (e.g. ftz).</ul>
Region3903	chr3L	8824532	8824880	FBgn0263930	chr3L	8828233	8889315	3352	Toll9 Up	Toll9 Up	Q24114	Division abnormally delayed protein	1000	dally	<ul><li>Cell surface proteoglycan that bears heparan sulfate. Required for cell division patterning during post-embryonic development of the nervous system.</ul>
Region3944	chr3L	9164743	9165274	FBgn0035965	chr3L	9135861	9137103	27639	Time Up	Gd7 Down	Q9VSU7	Vesicle transport protein USE1	1000	Use1	<ul><li>SNARE that may be involved in targeting and fusion of Golgi-derived retrograde transport vesicles with the ER (By similarity). Required for protein secretion.</ul>
Region3956	chr3L	9421354	9421885	FBgn0023129	chr3L	9423550	9424359	1664	Gd7 Up	Gd7 Up	Q9VSY6	Phosphoserine phosphatase	1000	aay	<ul><li>Catalyzes the last step in the biosynthesis of serine from carbohydrates. The reaction mechanism proceeds via the formation of a phosphoryl-enzyme intermediates (By similarity).</ul>
Region4025	chr3L	10673999	10674552	FBgn0052068	chr3L	10663446	10664362	9636	Toll10b Up	Gd7 Up	Q6AWN0	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	1000	Adi1	<ul><li>Catalyzes the formation of formate and 2-keto-4-methylthiobutyrate (KMTB) from 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK-MTPene).</ul>
Region4083	chr3L	11259648	11262413	FBgn0041094	chr3L	11252891	11254472	5175	Gd7 Up	Toll9 Up	Q9VTH4	Protein scylla	1000	scyl	<ul><li>Inhibits cell growth by regulating the Tor pathway upstream of the Tsc1-Tsc2 complex and downstream of Akt1. Acts as cell death activator during head development.</ul>
Region4267	chr3L	14003572	14004436	FBgn0036397	chr3L	13999738	14001626	1945	Time Down	Time Up	Q9VUB4	GATOR complex protein NPRL3	1000	Nprl3	<ul><li>An essential component of the GATOR subcomplex GATOR1 which functions as an inhibitor of the amino acid-sensing branch of the TORC1 signaling pathway (PubMed:23723238, PubMed:27166823, PubMed:25512509). The two GATOR subcomplexes, GATOR1 and GATOR2, regulate the TORC1 pathway in order to mediate metabolic homeostasis, female gametogenesis and the response to amino acid limitation and complete starvation (PubMed:23723238, PubMed:27166823, PubMed:25512509). The function of GATOR1 in negatively regulating the TORC1 pathway is essential for maintaining baseline levels of TORC1 activity under nutrient rich conditions, and for promoting survival during amino acid or complete starvation by inhibiting TORC1-dependent cell growth and promoting catabolic metabolism and autophagy (PubMed:23723238, PubMed:27166823). In addition, this inhibition of TORC1 is necessary to maintain female fertility under normal conditions and during periods of nutrient stress (PubMed:24786828, PubMed:27672113, PubMed:25512509). GATOR1 and GATOR2 act at different stages of oogenesis to regulate TORC1 in order to control meiotic entry and promote oocyte growth and development (PubMed:25512509). After exactly four mitotic cyst divisions, the GATOR1 complex members (Iml1, Nprl2 and Nprl3) down-regulate TORC1 to slow cellular metabolism and promote the mitotic/meiotic transition (PubMed:25512509). At later stages of oogenesis, the mio and Nup44A components of the GATOR2 complex inhibit GATOR1 and thus activate TORC1 to promote meiotic progression, and drive oocyte growth and development (PubMed:25512509).</ul>
Region4284	chr3L	14151422	14152370	FBgn0000411	chr3L	14176193	14177338	23822	Gd7 Down	Toll9 Up	Q24533	SOX domain-containing protein dichaete	1000	D	<ul><li>Essential for segmentation and CNS development. May modulate the actions of other transcription factors, including gap and pair-rule proteins.</ul>
Region4389	chr3L	15232644	15233361	FBgn0029114	chr3L	15236121	15240158	2759	Toll9 Up	Toll9 Up	Q9V477	Toll-like receptor Tollo	1000	Tollo	<ul><li>Toll-related receptor (PubMed:10973475). Probably specific to larval innate immunity (PubMed:22022271). Involved in the tracheal immune response of larvae to Gram-negative and perhaps Gram-positive bacteria; upon infection it negatively regulates the immune deficiency (Imd) signaling cascade specifically in the respiratory epithelium to prevent the overexpression of antimicrobial peptides (AMP) (PubMed:22022271). Involved in the NF-kappa-B-dependent apoptosis of unfit cells during cell competition (PubMed:25477468). Involved in neuron-specific glycosylation (PubMed:12588858, PubMed:17264077). Positively controls the neuromuscular junction (NMJ) growth in presynaptic motorneurons, probably via the JNK pathway (PubMed:24662564). During development of the peripheral nervous system, may function in the NF-kappa-B (rel) regulatory cascade to repress expression of the neuron-specific genes sc and ase in non-neuronal cells (PubMed:18000549). Promotes heterophilic cell adhesion with 18w in vitro (PubMed:25363762). May have a minor role in leg development (PubMed:21158756). May be involved in determining the proximal cell fate in the wing, possibly by negatively regulating the Dpp signaling pathway.(PubMed:17078066). May also be involved in the Dpp signaling pathway in the eye (PubMed:17078066). Possibly functions with 18w and Toll-6 during convergent extension, to help direct proper planar cell polarity, cell intercalation and axis elongation (PubMed:25363762).</ul>
Region4393	chr3L	15261743	15263107	FBgn0029114	chr3L	15236121	15240158	21584	Toll9 Up	Toll9 Up	Q9V477	Toll-like receptor Tollo	1000	Tollo	<ul><li>Toll-related receptor (PubMed:10973475). Probably specific to larval innate immunity (PubMed:22022271). Involved in the tracheal immune response of larvae to Gram-negative and perhaps Gram-positive bacteria; upon infection it negatively regulates the immune deficiency (Imd) signaling cascade specifically in the respiratory epithelium to prevent the overexpression of antimicrobial peptides (AMP) (PubMed:22022271). Involved in the NF-kappa-B-dependent apoptosis of unfit cells during cell competition (PubMed:25477468). Involved in neuron-specific glycosylation (PubMed:12588858, PubMed:17264077). Positively controls the neuromuscular junction (NMJ) growth in presynaptic motorneurons, probably via the JNK pathway (PubMed:24662564). During development of the peripheral nervous system, may function in the NF-kappa-B (rel) regulatory cascade to repress expression of the neuron-specific genes sc and ase in non-neuronal cells (PubMed:18000549). Promotes heterophilic cell adhesion with 18w in vitro (PubMed:25363762). May have a minor role in leg development (PubMed:21158756). May be involved in determining the proximal cell fate in the wing, possibly by negatively regulating the Dpp signaling pathway.(PubMed:17078066). May also be involved in the Dpp signaling pathway in the eye (PubMed:17078066). Possibly functions with 18w and Toll-6 during convergent extension, to help direct proper planar cell polarity, cell intercalation and axis elongation (PubMed:25363762).</ul>
Region4428	chr3L	15711068	15712595	FBgn0010105	chr3L	15722670	15728204	10074	Time Up	Time Down	Q24139	Protein commissureless 1	1000	comm	<ul><li>Controls axon guidance across the CNS midline by preventing the delivery of Robo to the growth cone.</ul>
Region4458	chr3L	16016353	16018308	FBgn0263601	chr3L	16006736	16011648	4704	Gd7 Down	Toll9 Up	Q9VUX2	E3 ubiquitin-protein ligase mind-bomb	1000	mib1	<ul><li>E3 ubiquitin-protein ligase that mediates ubiquitination of Delta (Dl) and Serrate (Ser) receptors, which act as ligands of Notch proteins. Positively regulates the Notch signaling by ubiquitinating the intracellular domain of Dl and Ser, leading to endocytosis of Dl and Ser receptors. Regulates a subset of Notch signaling events, including wing margin specification, leg segmentation and vein determination, that are distinct from those events requiring neuralize (neur) activity. Also modulates lateral inhibition, a neur- and Dl-dependent signaling event, suggesting a distinct but partially complementary function with neur.</ul>
Region4466	chr3L	16043357	16044706	FBgn0260635	chr3L	16038675	16039988	3368	Toll9 Up	Time Up	Q24306	Death-associated inhibitor of apoptosis 1	1000	Diap1	<ul><li>Anti-apoptotic protein which functions as a caspase regulator, using its E3 ubiquitin-protein ligase activity to smother caspase activity. Binds, ubiquitinates and inactivates initiator caspase Dronc, and effector caspases Drice and Dcp-1. Acts as a Nedd8-E3 ubiquitin-protein ligase for Drice. Suppresses apoptosis by targeting the apoptosome for ubiquitination and inactivation. Plays an important role in cell motility. Overexpression suppresses rpr and hid-dependent cell death in the eye. Interaction of Diap1 with Dronc is required to suppress Dronc-mediated cell death through Diap1-mediated ubiquitination of Dronc. Acts as a positive regulator of Wnt signaling.</ul>
Region4467	chr3L	16045099	16045393	FBgn0260635	chr3L	16038675	16039988	5110	Toll9 Up	Toll10b Up	Q24306	Death-associated inhibitor of apoptosis 1	1000	Diap1	<ul><li>Anti-apoptotic protein which functions as a caspase regulator, using its E3 ubiquitin-protein ligase activity to smother caspase activity. Binds, ubiquitinates and inactivates initiator caspase Dronc, and effector caspases Drice and Dcp-1. Acts as a Nedd8-E3 ubiquitin-protein ligase for Drice. Suppresses apoptosis by targeting the apoptosome for ubiquitination and inactivation. Plays an important role in cell motility. Overexpression suppresses rpr and hid-dependent cell death in the eye. Interaction of Diap1 with Dronc is required to suppress Dronc-mediated cell death through Diap1-mediated ubiquitination of Dronc. Acts as a positive regulator of Wnt signaling.</ul>
Region4563	chr3L	17415494	17416858	FBgn0266669	chr3L	17422111	17425099	5252	Time Up	Toll10b Down	Q9VVG4	Exocyst complex component 1	1000	Sec3	<ul><li>Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.</ul>
Region4685	chr3L	19165116	19165604	FBgn0016797	chr3L	19143869	19146286	18829	Gd7 Down	Toll9 Up	Q9VVX3	Frizzled-2	1000	fz2	<ul><li>Receptor for Wnt proteins. Most of frizzled receptors are coupled to the beta-catenin canonical signaling pathway, which leads to the activation of disheveled proteins, inhibition of GSK-3 kinase, nuclear accumulation of beta-catenin and activation of Wnt target genes. A second signaling pathway involving PKC and calcium fluxes has been seen for some family members, but it is not yet clear if it represents a distinct pathway or if it can be integrated in the canonical pathway, as PKC seems to be required for Wnt-mediated inactivation of GSK-3 kinase. Both pathways seem to involve interactions with G-proteins. Required to coordinate the cytoskeletons of epidermal cells to produce a parallel array of cuticular hairs and bristles.</ul>
Region4686	chr3L	19167461	19169122	FBgn0016797	chr3L	19143869	19146286	21174	Gd7 Down	Toll10b Down	Q9VVX3	Frizzled-2	1000	fz2	<ul><li>Receptor for Wnt proteins. Most of frizzled receptors are coupled to the beta-catenin canonical signaling pathway, which leads to the activation of disheveled proteins, inhibition of GSK-3 kinase, nuclear accumulation of beta-catenin and activation of Wnt target genes. A second signaling pathway involving PKC and calcium fluxes has been seen for some family members, but it is not yet clear if it represents a distinct pathway or if it can be integrated in the canonical pathway, as PKC seems to be required for Wnt-mediated inactivation of GSK-3 kinase. Both pathways seem to involve interactions with G-proteins. Required to coordinate the cytoskeletons of epidermal cells to produce a parallel array of cuticular hairs and bristles.</ul>
Region4687	chr3L	19170377	19170890	FBgn0016797	chr3L	19143869	19146286	24090	Gd7 Down	Gd7 Down	Q9VVX3	Frizzled-2	1000	fz2	<ul><li>Receptor for Wnt proteins. Most of frizzled receptors are coupled to the beta-catenin canonical signaling pathway, which leads to the activation of disheveled proteins, inhibition of GSK-3 kinase, nuclear accumulation of beta-catenin and activation of Wnt target genes. A second signaling pathway involving PKC and calcium fluxes has been seen for some family members, but it is not yet clear if it represents a distinct pathway or if it can be integrated in the canonical pathway, as PKC seems to be required for Wnt-mediated inactivation of GSK-3 kinase. Both pathways seem to involve interactions with G-proteins. Required to coordinate the cytoskeletons of epidermal cells to produce a parallel array of cuticular hairs and bristles.</ul>
Region4706	chr3L	19562102	19563502	FBgn0005564	chr3L	19568624	19574695	5121	Toll10b Down	Toll10b Down	P17971	Potassium voltage-gated channel protein Shal	1000	Shal	<ul><li>Mediates the voltage-dependent potassium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a potassium-selective channel through which potassium ions may pass in accordance with their electrochemical gradient. May play a role in the nervous system and in the regulation of beating frequency in pacemaker cells.</ul>
Region4707	chr3L	19563882	19565001	FBgn0005564	chr3L	19568624	19574695	3622	Toll10b Down	Toll10b Down	P17971	Potassium voltage-gated channel protein Shal	1000	Shal	<ul><li>Mediates the voltage-dependent potassium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a potassium-selective channel through which potassium ions may pass in accordance with their electrochemical gradient. May play a role in the nervous system and in the regulation of beating frequency in pacemaker cells.</ul>
Region4765	chr3L	20405305	20405919	FBgn0028978	chr3L	20396854	20401255	4049	Time Down	Toll9 Up	Q9V3Z1	Tribbles	1000	trbl	<ul><li>Adapter protein that negatively regulates different signaling pathways to coordinate cell differentiation, proliferation, migration and growth (PubMed:10837248, PubMed:10850493, PubMed:10850494, PubMed:10949024, PubMed:23305818, PubMed:25329475). Functions by binding to key regulatory proteins and either blocks their activity or regulates their turnover by the proteasome (PubMed:10837248, PubMed:10850493, PubMed:10850494, PubMed:10949024, PubMed:23305818, PubMed:25329475). In various developing tissues functions as a cell cycle regulator that mediates cell proliferation according to the requirements of the developmental program (PubMed:10850493, PubMed:10850494, PubMed:10837248, PubMed:15581871). Acts by inducing the proteasomal degradation of the CD25 mitotic activators stg and twe at critical stages of development to delay entry into mitosis and thus mediate cell proliferation (PubMed:10850493, PubMed:10850494, PubMed:10837248, PubMed:15581871, PubMed:23290551, PubMed:29025897). During gastrulation, negatively regulates stg to delay mitosis in the ventral region of the embryonic mesoderm thus allowing invagination to be completed before cell division takes place (PubMed:10837248, PubMed:10850493, PubMed:10850494). Delaying stg-dependent mitosis during bristle development and in migrating germline pole cells also arrests their cell divisions, whereas in cystocytes it promotes their cell divisions (PubMed:10837248, PubMed:10850493, PubMed:15581871). Involved in the regulation of the mid-blastula transition; promotes the destruction of twe resulting in the cell cycle arrest in G2 of cycle 14 which delays mitosis and thus reduces cell proliferation allowing cell fate specification and morphogenesis to take place (PubMed:23290551). In germline cells, blocks border cell migration during oogenesis by binding to slbo/C/EBP and promoting its ubiquitination and degradation by the proteasome (PubMed:23305818, PubMed:10949024, PubMed:29025897). May function in a negative feedback loop with slbo to coordinate proper border cell migration (PubMed:23305818). During tissue growth negatively regulates insulin signaling by binding to Akt1 and blocking its phosphorylation-dependent activation (PubMed:25329475, PubMed:29025897). However it may also function downstream in the insulin signaling pathway, acting with Akt1 to direct foxo degradation (PubMed:25329475). Essential for the proper formation of operant place and aversive olfactory memories (PubMed:18430923, PubMed:28669782).</ul>
Region4846	chr3L	21432909	21433619	FBgn0005694	chr3L	21435220	21436644	1600	Time Up	Time Up	P39413	Adult enhancer factor 1	1000	Aef1	<ul><li>Transcriptional repressor that binds specifically to fat body-specific enhancers, namely the adult ADH enhancer (AAE) and the enhancer that controls yolk protein gene expression.</ul>
Region4904	chr3L	22163275	22163843	FBgn0037153	chr3L	22184093	22242656	20249	Toll9 Up	Toll10b Down	Q6NP60	MOXD1 homolog 2	1000	olf413	<ul><li></ul>
Region4983	chr3L	25117985	25118459	FBgn0040020	chr3L	25115222	25115703	2281	Toll9 Up	Gd7 Up	Q9W5P1	Mediator of RNA polymerase II transcription subunit 21	1000	MED21	<ul><li>Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Required for activated transcription of the MtnA, MtnB and MtnD genes.</ul>
Region5065	chr3R	2025976	2026443	FBgn0010247	chr3R	3461406	3586979	1434962	Time Up	Gd7 Down	P35875	Poly [ADP-ribose] polymerase	1000	Parp	<ul><li>Poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair. Mainly mediates glutamate and aspartate ADP-ribosylation of target proteins: the ADP-D-ribosyl group of NAD(+) is transferred to the acceptor carboxyl group of glutamate and aspartate residues and further ADP-ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units.<li>Molecule 'Isoform E': Plays a fundamental role in organizing chromatin on a global scale. Autoregulates Parp transcription by influencing the chromatin structure of its heterochromatic environment.</ul>
Region5068	chr3R	2038015	2038635	FBgn0010247	chr3R	3461406	3586979	1422770	Time Up	Gd7 Down	P35875	Poly [ADP-ribose] polymerase	1000	Parp	<ul><li>Poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair. Mainly mediates glutamate and aspartate ADP-ribosylation of target proteins: the ADP-D-ribosyl group of NAD(+) is transferred to the acceptor carboxyl group of glutamate and aspartate residues and further ADP-ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units.<li>Molecule 'Isoform E': Plays a fundamental role in organizing chromatin on a global scale. Autoregulates Parp transcription by influencing the chromatin structure of its heterochromatic environment.</ul>
Region5071	chr3R	2052978	2053555	FBgn0010247	chr3R	3461406	3586979	1407850	Time Up	Gd7 Down	P35875	Poly [ADP-ribose] polymerase	1000	Parp	<ul><li>Poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair. Mainly mediates glutamate and aspartate ADP-ribosylation of target proteins: the ADP-D-ribosyl group of NAD(+) is transferred to the acceptor carboxyl group of glutamate and aspartate residues and further ADP-ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units.<li>Molecule 'Isoform E': Plays a fundamental role in organizing chromatin on a global scale. Autoregulates Parp transcription by influencing the chromatin structure of its heterochromatic environment.</ul>
Region5072	chr3R	2064445	2064993	FBgn0010247	chr3R	3461406	3586979	1396412	Time Up	Toll9 Up	P35875	Poly [ADP-ribose] polymerase	1000	Parp	<ul><li>Poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair. Mainly mediates glutamate and aspartate ADP-ribosylation of target proteins: the ADP-D-ribosyl group of NAD(+) is transferred to the acceptor carboxyl group of glutamate and aspartate residues and further ADP-ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units.<li>Molecule 'Isoform E': Plays a fundamental role in organizing chromatin on a global scale. Autoregulates Parp transcription by influencing the chromatin structure of its heterochromatic environment.</ul>
Region5073	chr3R	2069277	2069852	FBgn0010247	chr3R	3461406	3586979	1391553	Time Up	Gd7 Down	P35875	Poly [ADP-ribose] polymerase	1000	Parp	<ul><li>Poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair. Mainly mediates glutamate and aspartate ADP-ribosylation of target proteins: the ADP-D-ribosyl group of NAD(+) is transferred to the acceptor carboxyl group of glutamate and aspartate residues and further ADP-ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units.<li>Molecule 'Isoform E': Plays a fundamental role in organizing chromatin on a global scale. Autoregulates Parp transcription by influencing the chromatin structure of its heterochromatic environment.</ul>
Region5154	chr3R	4659392	4660286	FBgn0037265	chr3R	4655533	4657809	1582	Time Down	Toll9 Up	Q9VN45	Protein spartin	1000	spartin	<ul><li>During postembryonic development, functions with endocytic adapter Eps-15 in neurons to restrain synaptic growth, by inhibiting BMP signaling, and to control synaptic endocytosis. Required presynaptically for neuromuscular junction (NMJ) neurotransmission. Inhibits neuronal BMP signaling by promoting endocytic internalization and subsequent endosomal trafficking of the BMP receptor wit. In this way, regulates the Fmr1 translational regulator controlling Futsch expression to modulate neuronal microtubule stability, which controls both synaptogenesis and neuronal survival.</ul>
Region5155	chr3R	4662709	4663291	FBgn0037265	chr3R	4655533	4657809	4899	Time Down	Toll10b Down	Q9VN45	Protein spartin	1000	spartin	<ul><li>During postembryonic development, functions with endocytic adapter Eps-15 in neurons to restrain synaptic growth, by inhibiting BMP signaling, and to control synaptic endocytosis. Required presynaptically for neuromuscular junction (NMJ) neurotransmission. Inhibits neuronal BMP signaling by promoting endocytic internalization and subsequent endosomal trafficking of the BMP receptor wit. In this way, regulates the Fmr1 translational regulator controlling Futsch expression to modulate neuronal microtubule stability, which controls both synaptogenesis and neuronal survival.</ul>
Region5201	chr3R	4993886	4995150	FBgn0004436	chr3R	4950282	4952496	41389	Time Up	Toll9 Up	P25153	Ubiquitin-conjugating enzyme E2-17 kDa	1000	Ubc6	<ul><li>Catalyzes the covalent attachment of ubiquitin to other proteins. Required for postreplication repair of UV-damaged DNA (PubMed:1902572). Involved in the negative regulation of the Ras/MAPK signaling pathway in the wing by acting with the putative E3 ligases poe, Kcmf1 and Ufd4 to mediate the ubiquitination and proteasomal degradation of rl/MAPK (PubMed:27552662).</ul>
Region5205	chr3R	5025212	5026197	FBgn0010313	chr3R	5084376	5086025	58178	Toll10b Down	Time Up	P41046	Centrosomal and chromosomal factor	1000	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5209	chr3R	5038686	5039610	FBgn0010313	chr3R	5084376	5086025	44765	Toll10b Down	Toll10b Down	P41046	Centrosomal and chromosomal factor	1000	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5210	chr3R	5042917	5043867	FBgn0010313	chr3R	5084376	5086025	40508	Toll10b Down	Gd7 Up	P41046	Centrosomal and chromosomal factor	1000	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5211	chr3R	5053560	5054186	FBgn0010313	chr3R	5084376	5086025	30189	Toll10b Down	Toll9 Down	P41046	Centrosomal and chromosomal factor	1000	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5212	chr3R	5055660	5056893	FBgn0010313	chr3R	5084376	5086025	27482	Toll10b Down	Time Down	P41046	Centrosomal and chromosomal factor	1000	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5213	chr3R	5060564	5061022	FBgn0010313	chr3R	5084376	5086025	23353	Toll10b Down	Gd7 Down	P41046	Centrosomal and chromosomal factor	1000	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
Region5220	chr3R	5089384	5090896	FBgn0010313	chr3R	5084376	5086025	3358	Toll10b Down	Toll10b Down	P41046	Centrosomal and chromosomal factor	1000	corto	<ul><li>Essential protein required for proper condensation of mitotic chromosomes and progression through mitosis (PubMed:9463384). Binds to specific polytene chromosome sites, many of which are shared with the posterior sex combs (Psc) protein (PubMed:9463384). Involved in maintaining Abd-B repression outside its normal expression domain (PubMed:18667003, PubMed:18286205).</ul>
